age,ast,blk,date_game,drb,fg,fg3,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,pts,stl,team_id,tov,trb
29-018,10,0,2011-02-04,8,8,1,4,.400,20,5,.714,7,@,W (+12),17.0,1,40:18,CHA,4,4,22,0,MIA,4,12
29-020,8,3,2011-02-06,6,8,3,4,.571,14,9,.900,10,,W (+18),28.1,1,37:14,LAC,2,2,28,1,MIA,4,8
29-022,7,0,2011-02-08,3,7,0,1,.412,17,3,.600,5,,W (+5),10.5,1,40:30,IND,0,1,17,1,MIA,3,3
29-025,7,0,2011-02-11,7,9,0,0,.600,15,6,1.000,6,@,W (+14),23.2,1,36:23,DET,1,4,24,1,MIA,1,8
29-027,4,0,2011-02-13,2,6,1,2,.353,17,3,.600,5,@,L (-3),4.0,1,42:22,BOS,3,3,16,0,MIA,6,5
29-029,3,0,2011-02-15,12,16,1,4,.552,29,8,.800,10,@,W (+7),31.2,1,41:45,IND,0,2,41,2,MIA,2,12
29-030,1,2,2011-02-16,5,10,0,0,.556,18,8,.800,10,@,W (+8),19.6,1,39:40,TOR,2,0,28,1,MIA,5,7
29-036,7,1,2011-02-22,7,11,1,3,.550,20,0,,0,,W (+20),22.0,1,35:29,SAC,1,2,23,2,MIA,1,8
29-038,2,0,2011-02-24,6,12,0,1,.480,25,10,.833,12,@,L (-4),23.3,1,42:26,CHI,2,2,34,2,MIA,3,8
29-039,2,0,2011-02-25,5,18,2,3,.667,27,3,.333,9,,W (+8),29.4,1,39:30,WAS,0,1,41,2,MIA,2,5
29-041,9,0,2011-02-27,6,5,0,3,.333,15,2,.667,3,,L (-5),8.3,1,40:17,NYK,1,4,12,3,MIA,5,7
29-045,5,1,2011-03-03,2,10,0,1,.556,18,8,.667,12,,L (-3),24.8,1,41:01,ORL,2,3,28,4,MIA,2,4
29-046,1,0,2011-03-04,3,8,1,3,.444,18,2,1.000,2,@,L (-30),5.0,1,26:59,SAS,0,3,19,0,MIA,5,3
29-048,5,1,2011-03-06,2,8,0,1,.421,19,4,.667,6,,L (-1),7.5,1,38:01,CHI,2,2,20,0,MIA,7,4
29-050,5,2,2011-03-08,5,12,2,8,.571,21,12,.923,13,,L (-9),31.2,1,42:38,POR,1,4,38,1,MIA,3,6
29-052,5,1,2011-03-10,2,9,1,4,.391,23,1,1.000,1,,W (+6),14.0,1,39:28,LAL,3,1,20,4,MIA,4,5
29-054,9,5,2011-03-12,5,9,1,2,.600,15,9,1.000,9,,W (+33),31.2,1,34:17,MEM,0,3,28,3,MIA,3,5
29-056,4,2,2011-03-14,6,11,0,1,.478,23,7,1.000,7,,W (+30),23.2,1,39:21,SAS,3,3,29,2,MIA,3,9
29-058,2,1,2011-03-16,4,7,1,5,.333,21,6,.667,9,,L (-11),10.0,1,40:29,OKC,2,4,21,1,MIA,2,6
29-060,5,0,2011-03-18,2,5,3,4,.556,9,1,.500,2,@,W (+21),11.2,1,26:40,ATL,0,3,14,1,MIA,2,2
29-061,2,3,2011-03-19,1,10,1,3,.500,20,11,.846,13,,W (+5),23.5,1,39:17,DEN,1,3,32,1,MIA,2,2
29-065,4,0,2011-03-23,2,7,0,0,.538,13,10,.833,12,@,W (+6),23.5,1,39:33,DET,2,3,24,3,MIA,0,4
29-067,8,5,2011-03-25,7,15,1,3,.577,26,8,.727,11,,W (+12),39.4,1,41:01,PHI,4,3,39,3,MIA,2,11
29-069,5,2,2011-03-27,7,10,1,5,.400,25,9,.900,10,,W (+6),21.3,1,37:07,HOU,4,4,30,0,MIA,3,11
29-071,6,2,2011-03-29,1,8,2,4,.400,20,6,.750,8,@,L (-12),19.2,1,43:14,CLE,3,3,24,3,MIA,3,4
